n_per_arm_nominal,baseline_callback_rate,risk_difference,cluster_size,icc,design_effect,effective_n_per_arm,approx_power_cluster_adjusted
10,0.2,0.04999999999999999,8,0.1,1.7000000000000002,5.88235294117647,0.039686716820381475
10,0.2,0.10000000000000003,2,0.01,1.01,9.900990099009901,0.07439680861221265
10,0.2,0.10000000000000003,2,0.05,1.05,9.523809523809524,0.07301019750884656
10,0.2,0.10000000000000003,2,0.1,1.1,9.09090909090909,0.0714097432954915
10,0.2,0.10000000000000003,4,0.01,1.03,9.70873786407767,0.07369091379118171
10,0.2,0.10000000000000003,4,0.05,1.15,8.695652173913045,0.06993928683155066
10,0.2,0.10000000000000003,4,0.1,1.3,7.692307692307692,0.06616134236604891
10,0.2,0.10000000000000003,8,0.01,1.07,9.345794392523365,0.07235327841395314
10,0.2,0.10000000000000003,8,0.05,1.35,7.4074074074074066,0.06507507352428447
10,0.2,0.10000000000000003,8,0.1,1.7000000000000002,5.88235294117647,0.05913053750735105
10,0.2,0.14999999999999997,2,0.01,1.01,9.900990099009901,0.11388463548529075
10,0.2,0.14999999999999997,2,0.05,1.05,9.523809523809524,0.11111433583575775
10,0.2,0.14999999999999997,2,0.1,1.1,9.09090909090909,0.10792813918145097
10,0.2,0.14999999999999997,4,0.01,1.03,9.70873786407767,0.11247322240179651
10,0.2,0.14999999999999997,4,0.05,1.15,8.695652173913045,0.10501198677550211
10,0.2,0.14999999999999997,4,0.1,1.3,7.692307692307692,0.09757287722179053
10,0.2,0.14999999999999997,8,0.01,1.07,9.345794392523365,0.10980503305187055
10,0.2,0.14999999999999997,8,0.05,1.35,7.4074074074074066,0.09544906765878408
10,0.2,0.14999999999999997,8,0.1,1.7000000000000002,5.88235294117647,0.08396090102241353
10,0.2,0.2,2,0.01,1.01,9.900990099009901,0.16448062475607492
10,0.2,0.2,2,0.05,1.05,9.523809523809524,0.159836898148528
10,0.2,0.2,2,0.1,1.1,9.09090909090909,0.1545026241879504
10,0.2,0.2,4,0.01,1.03,9.70873786407767,0.16211412392111513
10,0.2,0.2,4,0.05,1.15,8.695652173913045,0.14962764695287648
10,0.2,0.2,4,0.1,1.3,7.692307692307692,0.13722986458044192
10,0.2,0.2,8,0.01,1.07,9.345794392523365,0.15764396949947285
10,0.2,0.2,8,0.05,1.35,7.4074074074074066,0.1337023604135406
10,0.2,0.2,8,0.1,1.7000000000000002,5.88235294117647,0.11474092293623561
10,0.2,0.3,2,0.01,1.01,9.900990099009901,0.2986827598464127
10,0.2,0.3,2,0.05,1.05,9.523809523809524,0.2891979134343693
10,0.2,0.3,2,0.1,1.1,9.09090909090909,0.27826110867301973
10,0.2,0.3,4,0.01,1.03,9.70873786407767,0.2938535783605768
10,0.2,0.3,4,0.05,1.15,8.695652173913045,0.2682311743141527
10,0.2,0.3,4,0.1,1.3,7.692307692307692,0.24260283081645656
10,0.2,0.3,8,0.01,1.07,9.345794392523365,0.2847069010619316
10,0.2,0.3,8,0.05,1.35,7.4074074074074066,0.23528697131305493
10,0.2,0.3,8,0.1,1.7000000000000002,5.88235294117647,0.19589693943922076
10,0.3,0.04999999999999999,2,0.01,1.01,9.900990099009901,0.042509107801213836
10,0.3,0.04999999999999999,2,0.05,1.05,9.523809523809524,0.04209690007679362
10,0.3,0.04999999999999999,2,0.1,1.1,9.09090909090909,0.041617729914556756
10,0.3,0.04999999999999999,4,0.01,1.03,9.70873786407767,0.04229959620252234
10,0.3,0.04999999999999999,4,0.05,1.15,8.695652173913045,0.041174160091072914
10,0.3,0.04999999999999999,4,0.1,1.3,7.692307692307692,0.04001909667120776
10,0.3,0.04999999999999999,8,0.01,1.07,9.345794392523365,0.0419006678363337
10,0.3,0.04999999999999999,8,0.05,1.35,7.4074074074074066,0.03968264540312419
10,0.3,0.04999999999999999,8,0.1,1.7000000000000002,5.88235294117647,0.03780370271189457
10,0.3,0.10000000000000003,2,0.01,1.01,9.900990099009901,0.067801544390991
10,0.3,0.10000000000000003,2,0.05,1.05,9.523809523809524,0.06663128713230619
10,0.3,0.10000000000000003,2,0.1,1.1,9.09090909090909,0.06527918764193474
10,0.3,0.10000000000000003,4,0.01,1.03,9.70873786407767,0.0672059254321545
10,0.3,0.10000000000000003,4,0.05,1.15,8.695652173913045,0.0640355746573487
10,0.3,0.10000000000000003,4,0.1,1.3,7.692307692307692,0.060834214019888526
10,0.3,0.10000000000000003,8,0.01,1.07,9.345794392523365,0.06607648722601299
